tekst	korpus	reci	duzina.reci	infinitivi	trebati	da	imen.glag	duzina.reci.2
hrwac.00000047.txt.taglem	hrwac	198	5.46464646465	0.105263157895	0.0	5.05050505051e-07	0.79347826087	2
hrwac.00000040.txt.taglem	hrwac	234	4.97435897436	0.171428571429	0.0	2.5641025641e-06	0.708333333333	1
hrwac.00000092.txt.taglem	hrwac	1710	5.14269005848	0.0891364902507	1.0	1.98830409357e-06	0.576650943396	1
hrwac.00000054.txt.taglem	hrwac	162	4.53086419753	0.113636363636	0.0	1.23456790123e-06	0.421052631579	1
hrwac.00000085.txt.taglem	hrwac	720	5.01388888889	0.117647058824	0.666666666667	6.94444444444e-07	0.624605678233	1
hrwac.00000077.txt.taglem	hrwac	222	6.5	0.0	0.0	0.0	0.818181818182	5
srwac.lat.00000074.txt.taglem	srwac.lat	206	5.83009708738	0.0434782608696	0.0	0.0	0.792792792793	5
srwac.lat.00000025.txt.taglem	srwac.lat	198	4.62626262626	0.2	0.0	0.0	0.838709677419	1
srwac.lat.00000037.txt.taglem	srwac.lat	551	5.41742286751	0.0	0.0	1.27041742287e-06	0.701342281879	3
srwac.lat.00000087.txt.taglem	srwac.lat	189	6.02645502646	0.0	0.0	0.0	0.871287128713	5
srwac.lat.00000021.txt.taglem	srwac.lat	467	4.97644539615	0.0724637681159	0.0	6.42398286938e-07	0.714876033058	1
srwac.lat.00000091.txt.taglem	srwac.lat	203	5.34482758621	0.0	0.0	4.92610837438e-07	0.80412371134	2
srwac.lat.00000009.txt.taglem	srwac.lat	630	5.71587301587	0.0701754385965	0.0	1.26984126984e-06	0.827272727273	4
srwac.lat.00000076.txt.taglem	srwac.lat	379	5.39050131926	0.0298507462687	0.0	3.16622691293e-06	0.627777777778	3
srwac.lat.00000080.txt.taglem	srwac.lat	454	5.44052863436	0.0434782608696	0.0	3.08370044053e-06	0.658415841584	3
srwac.lat.00000084.txt.taglem	srwac.lat	125	5.664	0.25	0.0	3.2e-06	0.774647887324	4
srwac.lat.00000090.txt.taglem	srwac.lat	1163	4.9011177988	0.0443349753695	0.0	2.49355116079e-06	0.632911392405	1
srwac.lat.00000043.txt.taglem	srwac.lat	914	5.87964989059	0.0843373493976	1.0	8.75273522976e-07	0.832323232323	5
srwac.lat.00000035.txt.taglem	srwac.lat	320	5.890625	0.0425531914894	0.0	2.1875e-06	0.737430167598	5
srwac.lat.00000018.txt.taglem	srwac.lat	522	5.72796934866	0.0923076923077	1.0	2.68199233716e-06	0.735772357724	4
srwac.lat.00000061.txt.taglem	srwac.lat	4489	4.83893963021	0.0276134122288	0.25	3.31922477166e-06	0.527272727273	1
srwac.lat.00000081.txt.taglem	srwac.lat	417	5.83693045564	0.1	0.0	4.79616306954e-07	0.872340425532	5
srwac.lat.00000015.txt.taglem	srwac.lat	516	4.68023255814	0.0849056603774	0.0	2.90697674419e-06	0.550847457627	1
srwac.lat.00000039.txt.taglem	srwac.lat	654	5.2752293578	0.0864197530864	0.0	1.22324159021e-06	0.756756756757	2
srwac.lat.00000064.txt.taglem	srwac.lat	293	5.03412969283	0.105263157895	0.0	1.70648464164e-06	0.734265734266	1
srwac.lat.00000006.txt.taglem	srwac.lat	402	5.33333333333	0.125	1.0	2.73631840796e-06	0.717171717172	2
srwac.lat.00000042.txt.taglem	srwac.lat	573	4.53577661431	0.00645161290323	1.0	4.18848167539e-06	0.472789115646	1
srwac.lat.00000082.txt.taglem	srwac.lat	174	5.82183908046	0.0	0.0	0.0	0.878048780488	5
srwac.lat.00000079.txt.taglem	srwac.lat	489	6.29447852761	0.137254901961	0.0	1.63599182004e-06	0.797619047619	5
srwac.lat.00000088.txt.taglem	srwac.lat	470	5.12978723404	0.0	0.0	1.27659574468e-06	0.752100840336	2
